1;429;177;12;27
2;862;948;20;11
3;783;463;22;20
4;603;555;29;23
5;553;529;25;11
6;219;969;14;20
7;873;917;29;16
8;752;63;27;29
9;112;119;18;28
10;257;504;10;15
11;807;884;26;13
12;222;600;14;12
13;80;113;21;10
14;88;626;10;26
15;500;196;17;29
16;242;436;16;22
17;334;714;22;22
18;371;130;23;10
19;46;847;29;25
20;215;950;29;20
21;216;427;12;13
22;184;230;13;25
23;828;217;11;23
24;390;276;27;15
25;15;381;10;12
26;303;953;23;20
27;928;149;14;25
28;210;792;11;11
29;885;694;16;28
30;283;819;13;15
31;214;249;18;28
32;983;900;12;27
33;144;886;15;23
34;891;876;18;19
35;739;113;26;18
36;353;814;15;29
37;286;548;15;24
38;921;827;15;29
39;452;895;18;19
40;352;692;19;27
41;692;931;12;15
42;230;559;24;25
43;386;488;21;20
44;578;725;22;19
45;952;16;28;18
46;152;862;19;16
47;825;680;3;9
48;21;381;13;17
49;499;635;21;28
50;211;781;12;27
51;480;311;21;11
52;300;693;28;14
53;332;358;11;16
54;839;548;24;13
55;269;469;25;25
56;397;728;18;17
57;921;636;14;17
58;774;427;17;16
59;484;129;24;18
60;566;45;28;24
61;589;573;27;23
62;709;766;23;24
63;126;62;4;12
64;117;430;11;12
65;733;745;20;17
66;118;279;26;10
67;693;86;12;19
68;159;29;24;24
69;910;467;19;15
70;858;513;10;29
71;433;532;23;17
72;618;146;28;27
73;240;594;13;15
74;299;528;11;22
75;416;233;13;28
76;287;442;17;28
77;32;671;24;14
78;342;948;29;22
79;934;110;20;10
80;750;36;15;10
81;552;927;11;17
82;356;776;10;16
83;463;42;10;14
84;780;102;16;18
85;650;384;18;10
86;3;8;29;12
87;367;429;27;11
88;470;525;10;16
89;115;777;12;28
90;460;534;15;15
91;199;673;27;21
92;954;717;13;19
93;5;682;16;19
94;582;4;17;13
95;405;823;14;18
96;506;499;11;21
97;155;815;28;20
98;337;392;10;21
99;877;585;27;27
100;878;891;11;14
101;583;405;20;24
102;127;117;11;16
103;246;38;18;23
104;175;427;10;26
105;668;229;26;12
106;11;434;29;22
107;553;460;14;23
108;228;235;22;22
109;165;299;16;11
110;265;424;22;10
111;461;884;11;15
112;10;38;17;28
113;633;562;24;29
114;794;401;11;17
115;435;872;17;18
116;807;239;11;12
117;922;65;23;13
118;886;607;29;17
119;1;625;15;12
120;498;569;24;21
121;204;831;23;18
122;564;551;25;12
123;131;541;19;20
124;772;356;20;12
125;353;902;19;10
126;198;663;17;21
127;449;207;16;12
128;12;182;16;15
129;908;20;29;27
130;32;572;14;20
131;383;977;13;20
132;81;502;28;19
133;565;767;27;22
134;214;942;4;8
135;464;190;20;21
136;741;68;19;19
137;413;67;21;23
138;507;820;21;12
139;360;938;16;11
140;484;831;15;21
141;733;931;29;11
142;219;692;27;25
143;636;584;11;26
144;48;659;21;18
145;975;850;14;29
146;359;831;19;23
147;800;901;26;16
148;388;195;25;25
149;155;320;20;20
150;827;207;13;25
151;11;489;15;17
152;26;587;11;20
153;448;477;24;26
154;750;250;19;23
155;912;628;23;11
156;589;328;18;18
157;292;335;13;16
158;751;357;12;28
159;233;775;16;16
160;855;923;22;16
161;439;517;27;21
162;465;829;25;21
163;435;635;11;20
164;354;394;10;11
165;507;928;13;14
166;541;899;27;22
167;702;939;28;28
168;849;818;14;26
